threshold,accuracy,precision,recall,f1
0.3,0.5298245614035088,0.4486607142857143,0.9054054054054054,0.6
0.35,0.6333333333333333,0.5187319884726225,0.8108108108108109,0.632688927943761
0.4,0.6754385964912281,0.5640138408304498,0.7342342342342343,0.6379647749510763
0.45,0.7280701754385965,0.645021645021645,0.6711711711711712,0.6578366445916115
0.5,0.7473684210526316,0.7191011235955056,0.5765765765765766,0.64
0.55,0.775438596491228,0.8175675675675675,0.545045045045045,0.654054054054054
0.6,0.7824561403508772,0.9298245614035088,0.4774774774774775,0.6309523809523809
0.65,0.7736842105263158,0.9603960396039604,0.4369369369369369,0.6006191950464397
0.7,0.7736842105263158,0.9894736842105263,0.42342342342342343,0.5930599369085173
